State,Year,Ave_Temp
AK,1992,43.95866499
AK,1993,46.52809483
AK,1994,41.96293587
AK,1995,41.27161475
AK,1996,40.11297932
AK,1997,42.19919137
AK,1998,41.62010056
AK,1999,38.89862138
AK,2000,41.93710616
AK,2001,40.18452573
AK,2002,43.63657276
AK,2003,43.02826789
AK,2004,44.18003085
AK,2005,43.31969482
AK,2006,40.52845742
AK,2007,41.18024428
AK,2008,38.50895521
AK,2009,40.71828064
AK,2010,41.41555211
AK,2011,40.5936853
AL,1992,73.19236288
AL,1993,73.62373706
AL,1994,73.89132753
AL,1995,74.19068559
AL,1996,73.46680543
AL,1997,73.42609116
AL,1998,76.17541647
AL,1999,76.35217776
AL,2000,75.88089588
AL,2001,74.40107402
AL,2002,74.7721599
AL,2003,74.01818841
AL,2004,74.09886444
AL,2005,74.91558148
AL,2006,76.54982187
AL,2007,77.20972695
AL,2008,74.79977808
AL,2009,73.55316373
AL,2010,74.52735494
AL,2011,75.6877807
AR,1992,71.18072891
AR,1993,70.6198822
AR,1994,71.48835487
AR,1995,72.38485126
AR,1996,70.90914672
AR,1997,70.89570847
AR,1998,74.02429327
AR,1999,74.46001114
AR,2000,72.48668702
AR,2001,72.46650061
AR,2002,71.49293539
AR,2003,71.60616903
AR,2004,71.65261724
AR,2005,73.20215618
AR,2006,73.79359056
AR,2007,72.75181506
AR,2008,70.75833763
AR,2009,70.23281059
AR,2010,72.80310935
AR,2011,72.84520621
AZ,1992,72.46381735
AZ,1993,73.48011926
AZ,1994,74.46591817
AZ,1995,74.55312003
AZ,1996,75.43300548
AZ,1997,73.71972402
AZ,1998,72.38169635
AZ,1999,74.67036013
AZ,2000,75.03357158
AZ,2001,74.02678349
AZ,2002,75.12423649
AZ,2003,75.07206036
AZ,2004,73.17052195
AZ,2005,73.81891262
AZ,2006,74.54787843
AZ,2007,74.40921668
AZ,2008,73.66810554
AZ,2009,74.47124007
AZ,2010,72.80515466
AZ,2011,73.04488288
CA,1992,71.40237739
CA,1993,69.32158512
CA,1994,69.87848559
CA,1995,70.16532764
CA,1996,70.7293446
CA,1997,70.78446581
CA,1998,67.4969362
CA,1999,69.75614095
CA,2000,69.96600333
CA,2001,70.71724357
CA,2002,70.88922672
CA,2003,70.72099915
CA,2004,70.32520188
CA,2005,69.69149528
CA,2006,69.9805773
CA,2007,70.56298082
CA,2008,70.60182536
CA,2009,70.36389152
CA,2010,68.18988114
CA,2011,68.45959017
CO,1992,55.80445934
CO,1993,53.75276218
CO,1994,57.53331086
CO,1995,55.87972412
CO,1996,56.59358133
CO,1997,55.41299399
CO,1998,56.7511205
CO,1999,57.52817296
CO,2000,57.88105748
CO,2001,57.88137757
CO,2002,57.60809715
CO,2003,58.35183145
CO,2004,56.59486277
CO,2005,57.57004482
CO,2006,57.43433965
CO,2007,57.19533432
CO,2008,55.77215272
CO,2009,55.60746978
CO,2010,56.88698732
CO,2011,56.28390899
CT,1992,57.73099895
CT,1993,59.53960798
CT,1994,59.89695735
CT,1995,56.75105719
CT,1996,58.23841726
CT,1997,58.4521848
CT,1998,61.63394279
CT,1999,62.15327458
CT,2000,57.96566568
CT,2001,60.75510932
CT,2002,61.37354384
CT,2003,57.63082271
CT,2004,58.3706535
CT,2005,59.81038604
CT,2006,60.68544369
CT,2007,59.64172344
CT,2008,57.9680596
CT,2009,57.70489523
CT,2010,61.25857479
CT,2011,60.4174476
DE,1992,62.80213115
DE,1993,64.18926027
DE,1994,64.4369863
DE,1995,64.18434186
DE,1996,62.2330932
DE,1997,63.6339726
DE,1998,66.34958904
DE,1999,65.37561644
DE,2000,62.95038895
DE,2001,65.0249863
DE,2002,65.63731507
DE,2003,62.21386301
DE,2004,63.87015855
DE,2005,64.87732409
DE,2006,66.2830137
DE,2007,65.22224025
DE,2008,65.3192751
DE,2009,64.44532048
DE,2010,65.7917138
DE,2011,66.18286708
FL,1992,81.89886863
FL,1993,81.78406642
FL,1994,82.46142771
FL,1995,81.7336897
FL,1996,81.19950036
FL,1997,82.02714656
FL,1998,82.98493417
FL,1999,82.26732825
FL,2000,82.06631304
FL,2001,81.93493258
FL,2002,82.25787395
FL,2003,81.71778917
FL,2004,81.59615769
FL,2005,81.36822952
FL,2006,82.72442571
FL,2007,82.81545669
FL,2008,81.86006601
FL,2009,81.94184154
FL,2010,80.40353926
FL,2011,83.25512126
GA,1992,73.6945219
GA,1993,74.90732976
GA,1994,74.62848046
GA,1995,74.97697067
GA,1996,74.29432043
GA,1997,74.3040316
GA,1998,76.73519989
GA,1999,76.27339139
GA,2000,75.2496
GA,2001,75.40670255
GA,2002,75.48276317
GA,2003,74.00634832
GA,2004,74.95824875
GA,2005,74.59261211
GA,2006,76.38469377
GA,2007,76.36529862
GA,2008,74.90660206
GA,2009,73.72326857
GA,2010,74.35017408
GA,2011,76.41450857
HI,1992,78.58727538
HI,1993,78.13127167
HI,1994,78.8164515
HI,1995,79.4690814
HI,1996,79.21289132
HI,1997,78.62754299
HI,1998,77.76118223
HI,1999,77.39345892
HI,2000,78.03211423
HI,2001,78.17353099
HI,2002,78.22689461
HI,2003,78.8980949
HI,2004,78.6973795
HI,2005,78.78738479
HI,2006,78.03255363
HI,2007,77.95953236
HI,2008,77.53373932
HI,2009,77.27629828
HI,2010,77.74301526
HI,2011,77.82829262
IA,1992,57.98703472
IA,1993,55.14324157
IA,1994,58.557441
IA,1995,57.59919693
IA,1996,55.45386259
IA,1997,57.44451383
IA,1998,60.41680538
IA,1999,60.45076959
IA,2000,59.411478
IA,2001,59.40040638
IA,2002,60.00037866
IA,2003,59.11919617
IA,2004,59.05202485
IA,2005,60.50227325
IA,2006,60.95342091
IA,2007,59.39339394
IA,2008,56.36878127
IA,2009,56.89821703
IA,2010,58.62594118
IA,2011,59.0213378
ID,1992,58.3924605
ID,1993,54.07533246
ID,1994,57.91924201
ID,1995,55.93254452
ID,1996,55.97387401
ID,1997,56.11367208
ID,1998,56.75295296
ID,1999,57.08123331
ID,2000,56.74752371
ID,2001,57.77855864
ID,2002,56.20236442
ID,2003,58.35343735
ID,2004,56.79265544
ID,2005,56.72754677
ID,2006,57.50182773
ID,2007,58.28450895
ID,2008,55.93833775
ID,2009,55.40595281
ID,2010,55.43961804
ID,2011,55.00145061
IL,1992,61.38416385
IL,1993,60.06878097
IL,1994,62.23290898
IL,1995,61.69383525
IL,1996,60.03346051
IL,1997,60.38424609
IL,1998,64.49243841
IL,1999,64.01088383
IL,2000,62.06174335
