 StateCode ,CountyCode,StateName,CountyName,ConfirmedCount_1992_1996,ConfirmedCount_1997_2001,ConfirmedCount_2002_2006,ConfirmedCount_2007_2011
1,0,Alabama,Alabama,,,,1.00
1,1,Alabama,Autauga County,,2.00,,
1,3,Alabama,Baldwin County,4.00,4.00,1.00,1.00
1,5,Alabama,Barbour County,,,,
1,7,Alabama,Bibb County,1.00,,,
1,9,Alabama,Blount County,,,,
1,11,Alabama,Bullock County,,,,
1,13,Alabama,Butler County,,,,
1,15,Alabama,Calhoun County,1.00,3.00,,2.00
1,17,Alabama,Chambers County,,,,2.00
1,19,Alabama,Cherokee County,,,,
1,21,Alabama,Chilton County,,,1.00,
1,23,Alabama,Choctaw County,,6.00,,
1,25,Alabama,Clarke County,1.00,1.00,,
1,27,Alabama,Clay County,1.00,,,
1,29,Alabama,Cleburne County,,,,
1,31,Alabama,Coffee County,1.00,,1.00,
1,33,Alabama,Colbert County,,1.00,,
1,35,Alabama,Conecuh County,,,,
1,37,Alabama,Coosa County,,,,
1,39,Alabama,Covington County,,,,
1,41,Alabama,Crenshaw County,,,,
1,43,Alabama,Cullman County,,,,
1,45,Alabama,Dale County,,,,1.00
1,47,Alabama,Dallas County,,,,
1,49,Alabama,DeKalb County,,,2.00,
1,51,Alabama,Elmore County,,2.00,,
1,53,Alabama,Escambia County,,,,
1,55,Alabama,Etowah County,,,,
1,57,Alabama,Fayette County,,1.00,,
1,59,Alabama,Franklin County,,,,
1,61,Alabama,Geneva County,,,,1.00
1,63,Alabama,Greene County,,,,1.00
1,65,Alabama,Hale County,,,,
1,67,Alabama,Henry County,,,,
1,69,Alabama,Houston County,,1.00,,2.00
1,71,Alabama,Jackson County,,,,1.00
1,73,Alabama,Jefferson County,6.00,9.00,9.00,2.00
1,75,Alabama,Lamar County,,,,
1,77,Alabama,Lauderdale County,,,,1.00
1,79,Alabama,Lawrence County,1.00,,,
1,81,Alabama,Lee County,1.00,,1.00,2.00
1,83,Alabama,Limestone County,1.00,1.00,,
