"state","full","lyme9296","lyme9701","lyme0206","lyme0711","temp9296","temp9701","temp0206","temp0711","prec9296","prec9701","prec0206","prec0711"
"AK","Alaska",0,0,0,0,42.7668579559025,40.9679090391687,42.9386047484079,40.4833435076639,30.0350195577973,32.7876208543503,32.8899842358544,30.5948478214019
"AL","Alabama",41,71,39,32,73.6729836963874,75.2471310581391,74.8709232206644,75.1555608787421,40.8691728728359,38.6386971144477,40.4906493073998,37.5089118674952
"AR","Arkansas",81,53,3,1,71.3165927936797,72.866640099814,72.3494936814998,71.8782557669866,35.2421723234638,33.8964815292863,33.0205486961144,39.2894550744329
"AZ","Arizona",1,13,41,17,74.0791960593909,73.966427116817,74.346721970082,73.6797199667681,11.7049038167086,10.0410694243578,8.91068600834153,9.63196835642892
"CA","California",581,619,411,471,70.2994240677469,69.7441579727621,70.3215000671344,69.6356338030169,21.8267786639886,19.2906489259686,18.5393831849862,18.1681284287469
"CO","Colorado",1,3,1,3,55.9127675654159,57.0909444987895,57.5118351682277,56.3491706239401,16.4435886958871,15.7457308642811,14.5473188535491,15.8433953474093
"CT","Connecticut",3961,1560,2423,4049,58.4314077465456,60.1920354330042,59.5741699562944,59.3981401316736,34.9876144326068,31.8231647781679,36.9150737162286,38.9939398067173
"DE","Delaware",697,672,1873,1447,63.5691625564196,64.6669106669661,64.5763348847739,65.3922833422134,33.2990877670374,29.6517926998792,35.6668738115717,33.487615329988
"FL","Florida",154,283,249,313,81.8155105598086,82.2561309187863,81.9328952077524,82.0552049515672,40.0061730015946,37.0091618070296,38.7264015426875,34.8708409311042
"GA","Georgia",234,14,38,128,74.5003246422785,75.5937850870952,75.084933222327,75.1519703788517,38.3148393307132,33.114035851887,35.7914426346061,33.1881371150675
"HI","Hawaii",0,0,0,0,78.8433942534201,77.9975658707653,78.5284614839469,77.6681755696705,32.023587882284,27.8901906647452,34.3815860548972,29.6702437245779
"IA","Iowa",93,129,335,425,56.9481553631257,59.4247946368619,59.9254587693314,58.0615342439185,25.4489562528498,23.393681613377,22.0267130109488,30.4423737792758
"ID","Idaho",9,23,22,27,56.4586906989475,56.8947881406586,57.1155663433047,56.0139736321096,19.6188427927922,18.2115105255081,17.9654329817479,17.8210089661926
"IL","Illinois",112,111,442,722,61.0826299120093,62.898788486894,63.2758131100765,62.1276465667245,28.6039744969789,27.4306399640038,26.6193975654496,33.3257062372943
"IN","Indiana",124,142,137,301,60.9106760762256,62.6267950609949,62.1452495730397,62.2961642503838,30.7666568430393,29.0560597375981,31.432403212659,32.8540517760275
"KS","Kansas",148,52,21,60,66.0291945956161,67.8690315952652,68.3398803871823,66.7875053103604,23.793678335786,21.3753560429976,19.4730405046009,23.5375586969817
"KY","Kentucky",110,102,69,20,66.7586877855423,68.2093724376103,67.5834709035161,67.5801417339241,33.5377942886516,31.6577801267286,35.7666102116021,38.2629852520694
