state,temp1992,temp1993,temp1994,temp1995,temp1996,temp1997,temp1998,temp1999,temp2000,temp2001,temp2002,temp2003,temp2004,temp2005,temp2006,temp2007,temp2008,temp2009,temp2010,temp2011
AK,43.95866499,46.52809483,41.96293587,41.27161475,40.11297932,42.19919137,41.62010056,38.89862138,41.93710616,40.18452573,43.63657276,43.02826789,44.18003085,43.31969482,40.52845742,41.18024428,38.50895521,40.71828064,41.41555211,40.5936853
AL,73.19236288,73.62373706,73.89132753,74.19068559,73.46680543,73.42609116,76.17541647,76.35217776,75.88089588,74.40107402,74.7721599,74.01818841,74.09886444,74.91558148,76.54982187,77.20972695,74.79977808,73.55316373,74.52735494,75.6877807
AR,71.18072891,70.6198822,71.48835487,72.38485126,70.90914672,70.89570847,74.02429327,74.46001114,72.48668702,72.46650061,71.49293539,71.60616903,71.65261724,73.20215618,73.79359056,72.75181506,70.75833763,70.23281059,72.80310935,72.84520621
AZ,72.46381735,73.48011926,74.46591817,74.55312003,75.43300548,73.71972402,72.38169635,74.67036013,75.03357158,74.02678349,75.12423649,75.07206036,73.17052195,73.81891262,74.54787843,74.40921668,73.66810554,74.47124007,72.80515466,73.04488288
CA,71.40237739,69.32158512,69.87848559,70.16532764,70.7293446,70.78446581,67.4969362,69.75614095,69.96600333,70.71724357,70.88922672,70.72099915,70.32520188,69.69149528,69.9805773,70.56298082,70.60182536,70.36389152,68.18988114,68.45959017
CO,55.80445934,53.75276218,57.53331086,55.87972412,56.59358133,55.41299399,56.7511205,57.52817296,57.88105748,57.88137757,57.60809715,58.35183145,56.59486277,57.57004482,57.43433965,57.19533432,55.77215272,55.60746978,56.88698732,56.28390899
CT,57.73099895,59.53960798,59.89695735,56.75105719,58.23841726,58.4521848,61.63394279,62.15327458,57.96566568,60.75510932,61.37354384,57.63082271,58.3706535,59.81038604,60.68544369,59.64172344,57.9680596,57.70489523,61.25857479,60.4174476
DE,62.80213115,64.18926027,64.4369863,64.18434186,62.2330932,63.6339726,66.34958904,65.37561644,62.95038895,65.0249863,65.63731507,62.21386301,63.87015855,64.87732409,66.2830137,65.22224025,65.3192751,64.44532048,65.7917138,66.18286708
FL,81.89886863,81.78406642,82.46142771,81.7336897,81.19950036,82.02714656,82.98493417,82.26732825,82.06631304,81.93493258,82.25787395,81.71778917,81.59615769,81.36822952,82.72442571,82.81545669,81.86006601,81.94184154,80.40353926,83.25512126
GA,73.6945219,74.90732976,74.62848046,74.97697067,74.29432043,74.3040316,76.73519989,76.27339139,75.2496,75.40670255,75.48276317,74.00634832,74.95824875,74.59261211,76.38469377,76.36529862,74.90660206,73.72326857,74.35017408,76.41450857
HI,78.58727538,78.13127167,78.8164515,79.4690814,79.21289132,78.62754299,77.76118223,77.39345892,78.03211423,78.17353099,78.22689461,78.8980949,78.6973795,78.78738479,78.03255363,77.95953236,77.53373932,77.27629828,77.74301526,77.82829262
IA,57.98703472,55.14324157,58.557441,57.59919693,55.45386259,57.44451383,60.41680538,60.45076959,59.411478,59.40040638,60.00037866,59.11919617,59.05202485,60.50227325,60.95342091,59.39339394,56.36878127,56.89821703,58.62594118,59.0213378
ID,58.3924605,54.07533246,57.91924201,55.93254452,55.97387401,56.11367208,56.75295296,57.08123331,56.74752371,57.77855864,56.20236442,58.35343735,56.79265544,56.72754677,57.50182773,58.28450895,55.93833775,55.40595281,55.43961804,55.00145061
IL,61.38416385,60.06878097,62.23290898,61.69383525,60.03346051,60.38424609,64.49243841,64.01088383,62.06174335,63.54463075,63.41728926,62.22914692,62.50189257,64.30491717,63.92581963,63.5953984,60.46184278,60.88450368,62.92412213,62.77236584
IN,60.86259817,59.82339763,61.884917,62.13316469,59.8493029,59.76406954,64.42296693,64.00574415,61.64359712,63.29759756,62.94057257,60.45624354,61.74668086,62.55753597,63.02521492,63.99612985,61.58934108,60.576041,62.70293073,62.61637859
KS,66.12863143,63.5592492,67.82282376,66.74097882,65.89428978,65.88481912,67.94951419,68.78037063,68.29420515,68.4362489,68.16027111,67.91993221,67.08602621,68.24981021,70.28336218,66.82189117,66.04118679,65.72809321,67.14200628,68.2043491
KY,66.39274422,66.7464318,67.49230222,67.49748961,65.66447108,65.91117742,69.36941503,70.1402391,67.18629828,68.43973235,67.854361,66.053865,67.40722885,68.27889513,68.32300454,69.71094249,67.75837415,66.25492323,67.55030046,66.62616833
