"state","prec1992","prec1993","prec1994","prec1995","prec1996","prec1997","prec1998","prec1999","prec2000","prec2001","prec2002","prec2003","prec2004","prec2005","prec2006","prec2007","prec2008","prec2009","prec2010","prec2011"
"AK",33.0781638614675,32.0254233449909,31.1481411005833,29.9227442061456,24.0006252757994,31.1687619010738,31.2040336487782,34.7345556854073,32.2075586648662,34.6231943716259,36.1694726861274,31.9285741289479,30.6257270953598,33.780679701659,31.9454675671779,29.1560104016148,32.0223932745209,28.6577497281383,29.8121229842553,33.3259627184804
"AL",41.4532805057977,36.0154580690577,42.9611957244642,42.797900651306,41.1180294135538,44.5358639729348,41.9173458703638,34.8641517813833,29.6580231039657,42.218100843591,40.8355298742007,45.1554027442803,41.675325876373,40.7219682203805,34.0650198217643,26.1142109015626,37.5811884144001,51.3261475314445,33.0424870942905,39.4805253957785
"AR",34.2038907671091,37.1329705011695,39.010531415579,30.2028034337351,35.6606654997264,35.6718139141816,33.902177122276,30.1428813422766,31.71194795669,38.0535873110075,36.4269958199155,30.6413979396116,38.8753259239732,24.8245940049636,34.3344297921083,32.6646238295324,42.4014350492793,49.6977514743271,27.3186948899033,44.3647701291222
"AZ",15.4528615731111,14.5746754832462,10.9478278395902,9.74285586625985,7.8062983213355,10.7512022802777,11.4037709129339,8.72525382692799,10.1558588692939,9.16926123235549,6.04453287005838,8.93489217424247,10.7297615022747,10.6363249859387,8.20791850919338,9.58700454202122,11.3538704208828,6.32549037717098,12.283246748942,8.61022969312761
"CA",18.0969404804599,21.5212786653345,14.2303719281496,28.0553065168475,27.2299957291515,16.4602236418781,28.7087849485521,14.5384361841009,18.2406675870228,18.505132268289,15.9894180162734,16.8073069391507,17.0820576973423,23.8170273470439,19.0011059251207,11.0925294060862,14.2769637520089,14.3644467166456,24.7547442439607,26.3519580250332
"CO",15.0054218940237,16.9451609520043,14.0380137308181,18.8589249825895,17.3704219199997,18.4175740356697,15.5139095258181,16.3672517190491,14.6640711439339,13.7658478969349,10.4199470223673,14.6625983551458,15.6714331347348,16.1969454629011,15.7856702925966,15.7624596420604,15.5749413656265,15.2327684788513,15.7127318681848,16.9340753823233
"CT",33.6561242497105,32.1680871692474,35.8292158824419,30.6116880837867,42.6729567778476,29.949217619351,32.6080553901132,34.8074315728806,34.0006274900054,27.7504918184893,31.9428582095759,39.3513094997441,33.4157358772674,39.7868754111867,40.0785895833688,31.9426132718559,43.8453598706855,35.9751052378589,35.6678322184651,47.5387884347209
"DE",27.2887067395264,33.283105022831,34.9095890410959,28.6342566109689,42.379781420765,26.4696504270601,27.4118721461187,34.6712328767123,34.2523267709659,25.4538812785388,32.1050228310502,42.5214611872146,38.1491449854552,31.549607634047,34.0091324200913,30.2231706856862,29.4659260262837,40.7065649042867,30.6837424144085,36.3586726192747
"FL",39.6194246486261,35.3584165582266,45.7636537747617,41.9846318657056,37.304738160653,42.5392557816802,39.6912962737703,35.7055953634708,28.7048155320974,38.4048460841291,41.5231360763315,41.5562409883582,38.9831641826841,42.0363234848533,29.5331429812104,31.7027035527222,37.0533761410314,36.6419939933273,33.5692941944529,35.3868367739873
"GA",42.6071734839693,32.7665231084457,44.4840366940708,35.9001724752066,35.8162908918738,40.3661783800563,36.7192168511668,29.1690275166448,29.222961991375,30.0927945201921,36.0319038265405,40.1881559349964,36.2497557750132,38.4509013263293,28.0364963101511,25.6295288755501,31.8479846442774,43.7741569912394,30.0833709263367,34.605644137934
"HI",32.1147818365936,25.7603962979677,39.1489741510722,25.2863859951052,37.8074011306811,36.8420041898045,22.8827963022624,27.5822853426412,25.090090420836,27.0537770681819,29.3939561471476,26.8118312476178,43.9340503115471,31.8363000097013,39.931792558472,31.887219634343,27.7758129434768,27.0458329572457,25.4140968058467,36.2282562819774
